k,distortion
1,258278794.92679048
2,253805338.7582153
3,251262765.83234435
4,248906418.37509862
5,248273285.69828653
6,246273937.82558322
7,243903811.14320964
8,242228970.1702865
9,241856294.3908045
10,239998305.3569532
11,237974961.46901375
12,236869017.57666242
13,236364029.22393262
14,235646630.54284376
15,234546615.4911564
16,233843953.62585264
17,230177330.85962802
18,231422657.3583575
19,232108692.23916352
20,231597499.95381284
21,228981998.81000793
22,229164726.80929384
23,226961582.67111948
24,225335172.25611842
25,225582471.45902428
26,224387948.12450045
27,221955548.12174305
28,224733828.21946418
29,220098053.53259772
30,221061241.73572594
